10:10的时候提醒我去吃饭	alerts	ALART_ADD	<TIME>10:10</TIME><ALART_EVENT>去吃饭</ALART_EVENT>
10:10叫宝宝游泳	alerts	ALART_ADD	<TIME>10:10</TIME><ALART_EVENT>宝宝游泳</ALART_EVENT>
10:10叫我	alerts	ALART_ADD	<TIME>10:10</TIME>
10:10叫我关火	alerts	ALART_ADD	<TIME>10:10</TIME><ALART_EVENT>关火</ALART_EVENT>
10:10叫我起床	alerts	ALART_ADD	<TIME>10:10</TIME><ALART_EVENT>起床</ALART_EVENT>
10:10叫我学习	alerts	ALART_ADD	<TIME>10:10</TIME><ALART_EVENT>学习</ALART_EVENT>
10:10今晚10:10的闹钟	alerts	ALART_ADD	<DATE>今晚</DATE><TIME>10:10</TIME>
10:10闹钟	alerts	ALART_ADD	<TIME>10:10</TIME>
10:10提醒我	alerts	ALART_ADD	<TIME>10:10</TIME>
10:10提醒我尽量玩会哈	alerts	ALART_ADD	<TIME>10:10</TIME><ALART_EVENT>尽量玩会</ALART_EVENT>
10:10提醒我去洗澡	alerts	ALART_ADD	<TIME>10:10</TIME><ALART_EVENT>洗澡</ALART_EVENT>
10:10提醒我写暑假作业	alerts	ALART_ADD	<ALART_EVENT>写暑假作业</ALART_EVENT><TIME>10:10</TIME>
10:11提醒我吃饼干	alerts	ALART_ADD	<TIME>10:11</TIME><ALART_EVENT>吃饼干</ALART_EVENT>
10:13提醒我	alerts	ALART_ADD	<TIME>10:13</TIME>
10:15的闹钟	alerts	ALART_ADD	<TIME>10:15</TIME>
10:15叫我	alerts	ALART_ADD	<TIME>10:15</TIME>
10:15叫我吃药	alerts	ALART_ADD	<TIME>10:15</TIME><ALART_EVENT>吃药</ALART_EVENT>
10:15提醒我睡觉	alerts	ALART_ADD	<TIME>10:15</TIME><ALART_EVENT>睡觉</ALART_EVENT>
10:16上闹铃	alerts	ALART_ADD	<TIME>10:16</TIME>
10:17提醒我时间吧	alerts	ALART_ADD	<TIME>10:17</TIME>
10:18喊我吃饭	alerts	ALART_ADD	<TIME>10:18</TIME><ALART_EVENT>吃饭</ALART_EVENT>
10:18提醒我中信银行	alerts	ALART_ADD	<TIME>10:18</TIME><ALART_EVENT>中信银行</ALART_EVENT>
10:20播放女人如烟提醒我吃饭的时间	alerts	ALART_ADD	<TIME>10:20</TIME><ALART_EVENT>播放女人如烟</ALART_EVENT><ALART_EVENT>吃饭</ALART_EVENT>
10:20播放女人如烟我要吃饭	alerts	ALART_ADD	<TIME>10:20</TIME><ALART_EVENT>播放女人如烟</ALART_EVENT><ALART_EVENT>我要吃饭</ALART_EVENT>
10:20的时候提醒我去刷牙	alerts	ALART_ADD	<TIME>10:20</TIME><ALART_EVENT>刷牙</ALART_EVENT>
10:20定个闹钟	alerts	ALART_ADD	<TIME>10:20</TIME>
10:20喊我起来	alerts	ALART_ADD	<TIME>10:20</TIME><ALART_EVENT>起来</ALART_EVENT>
10:20叫我	alerts	ALART_ADD	<TIME>10:20</TIME>
10:20叫我起床	alerts	ALART_ADD	<TIME>10:20</TIME><ALART_EVENT>起床</ALART_EVENT>
10:20叫醒我	alerts	ALART_ADD	<TIME>10:20</TIME>
10:20闹钟	alerts	ALART_ADD	<TIME>10:20</TIME>
10:20提醒王子洋拉二胡！	alerts	ALART_ADD	<TIME>10:20</TIME><ALART_EVENT>王子洋拉二胡</ALART_EVENT>
10:20提醒我	alerts	ALART_ADD	<TIME>10:20</TIME>
10:20通知我收手机	alerts	ALART_ADD	<TIME>10:20</TIME><ALART_EVENT>收手机</ALART_EVENT>
10:21分钟叫我起床	alerts	ALART_ADD	<TIME>10:21</TIME><ALART_EVENT>起床</ALART_EVENT>
10:21叫我起床	alerts	ALART_ADD	<TIME>10:21</TIME><ALART_EVENT>起床</ALART_EVENT>
10:22的闹铃	alerts	ALART_ADD	<TIME>10:22</TIME>
10:22提醒我	alerts	ALART_ADD	<TIME>10:22</TIME>
10:23的闹钟	alerts	ALART_ADD	<TIME>10:23</TIME>
10:25的闹钟	alerts	ALART_ADD	<TIME>10:25</TIME>
10:25叫我	alerts	ALART_ADD	<TIME>10:25</TIME>
10:25叫我起床	alerts	ALART_ADD	<TIME>10:25</TIME><ALART_EVENT>起床</ALART_EVENT>
10:25叫我一下	alerts	ALART_ADD	<TIME>10:25</TIME>
10:25闹钟	alerts	ALART_ADD	<TIME>10:25</TIME>
10:25提醒我	alerts	ALART_ADD	<TIME>10:25</TIME>
10:26闹钟	alerts	ALART_ADD	<TIME>10:26</TIME>
10:27的闹钟	alerts	ALART_ADD	<TIME>10:27</TIME>
10:30播放周杰伦的歌！	alerts	ALART_ADD	<TIME>10:30</TIME><ALART_EVENT>播放周杰伦的歌</ALART_EVENT>
10:30的闹钟	alerts	ALART_ADD	<TIME>10:30</TIME>
10:30的闹钟叫醒我	alerts	ALART_ADD	<TIME>10:30</TIME>
10:30的闹钟取消	alerts	ALART_DEL	
10:30的时候叫我	alerts	ALART_ADD	<TIME>10:30</TIME>
10:30的时候提醒我	alerts	ALART_ADD	<TIME>10:30</TIME>
10:30的时候提醒我去吃早饭	alerts	ALART_ADD	<TIME>10:30</TIME><ALART_EVENT>去吃早饭</ALART_EVENT>
10:30叫我	alerts	ALART_ADD	<TIME>10:30</TIME>
10:30闹钟	alerts	ALART_ADD	<TIME>10:30</TIME>
10:30提醒喝药	alerts	ALART_ADD	<TIME>10:30</TIME><ALART_EVENT>喝药</ALART_EVENT>
10:30提醒我	alerts	ALART_ADD	<TIME>10:30</TIME>
10:30提醒我传饭	alerts	ALART_ADD	<TIME>10:30</TIME><ALART_EVENT>传饭</ALART_EVENT>
10:30提醒我睡觉	alerts	ALART_ADD	<TIME>10:30</TIME><ALART_EVENT>睡觉</ALART_EVENT>
10:30提醒我下班	alerts	ALART_ADD	<TIME>10:30</TIME><ALART_EVENT>下班</ALART_EVENT>
10:30提醒我转弯微波罗	alerts	ALART_ADD	<TIME>10:30</TIME><ALART_EVENT>转弯微波炉</ALART_EVENT>
10:30调个闹钟	alerts	ALART_ADD	<TIME>10:30</TIME><ALART_EVENT>调个闹钟</ALART_EVENT>
10:30再叫我	alerts	ALART_ADD	<TIME>10:30</TIME>
10:31的闹钟取消	alerts	ALART_DEL	
10:31闹钟取消	alerts	ALART_DEL	
10:32提醒我	alerts	ALART_ADD	<TIME>10:32</TIME>
10:35提醒我收手机	alerts	ALART_ADD	<TIME>10:35</TIME><ALART_EVENT>收手机</ALART_EVENT>
10:37的时候叫我	alerts	ALART_ADD	<TIME>10:37</TIME>
10:38的时候记得叫我起床啊	alerts	ALART_ADD	<TIME>10:38</TIME><ALART_EVENT>起床</ALART_EVENT>
10:38叫我	alerts	ALART_ADD	<TIME>10:38</TIME>
10:40的闹钟	alerts	ALART_ADD	<TIME>10:40</TIME>
10:40的闹钟播放醉赤壁	alerts	ALART_ADD	<TIME>10:40</TIME><ALART_EVENT>播放醉赤壁</ALART_EVENT>
10:40的时候提醒我	alerts	ALART_ADD	<TIME>10:40</TIME>
10:40叫我	alerts	ALART_ADD	<TIME>10:40</TIME>
10:40叫我啊	alerts	ALART_ADD	<PERIOD>10:40</PERIOD>
10:40叫我关怀	alerts	ALART_ADD	<TIME>10:40</TIME>
10:40叫我起床	alerts	ALART_ADD	<TIME>10:40</TIME><ALART_EVENT>起床</ALART_EVENT>
10:40叫我睡觉	alerts	ALART_ADD	<TIME>10:40</TIME><ALART_EVENT>睡觉</ALART_EVENT>
10:40闹钟	alerts	ALART_ADD	<TIME>10:40</TIME>
10:40提醒28000	alerts	ALART_ADD	<TIME>10:40</TIME><ALART_EVENT>28000</ALART_EVENT>
10:40提醒我	alerts	ALART_ADD	<TIME>10:40</TIME>
10:40提醒我把电池关掉	alerts	ALART_ADD	<TIME>10:40</TIME><ALART_EVENT>电池关掉</ALART_EVENT>
10:40提醒我吃饭	alerts	ALART_ADD	<TIME>10:40</TIME><ALART_EVENT>吃饭</ALART_EVENT>
10:40提醒我吃药	alerts	ALART_ADD	<TIME>10:40</TIME><ALART_EVENT>吃药</ALART_EVENT>
10:40提醒我该玩游戏了	alerts	ALART_ADD	<TIME>10:40</TIME><ALART_EVENT>玩游戏</ALART_EVENT>
10:40提醒我关闭电影	alerts	ALART_ADD	<TIME>10:40</TIME><ALART_EVENT>关闭电影</ALART_EVENT>
10:40提醒我今天的单词还没有背	alerts	ALART_ADD	<TIME>10:40</TIME><ALART_EVENT>今天的单词还没有背</ALART_EVENT>
10:40提醒我开会去	alerts	ALART_ADD	<TIME>10:40</TIME><ALART_EVENT>开会</ALART_EVENT>
10:40提醒我煮面	alerts	ALART_ADD	<TIME>10:40</TIME><ALART_EVENT>煮面</ALART_EVENT>
10:45的闹钟	alerts	ALART_ADD	<TIME>10:45</TIME>
10:45喊我起床	alerts	ALART_ADD	<TIME>10:45</TIME><ALART_EVENT>起床</ALART_EVENT>
10:45叫我	alerts	ALART_ADD	<TIME>10:45</TIME>
10:45叫我起床	alerts	ALART_ADD	<TIME>10:45</TIME><ALART_EVENT>起床</ALART_EVENT>
10:45叫醒我	alerts	ALART_ADD	<TIME>10:45</TIME>
10:45闹钟	alerts	ALART_ADD	<TIME>10:45</TIME>
10:45提醒我关火	alerts	ALART_ADD	<TIME>10:45</TIME><ALART_EVENT>关火</ALART_EVENT>
10:46闹铃响	alerts	ALART_ADD	<TIME>10:46</TIME>
10:49叫我起床	alerts	ALART_ADD	<TIME>10:49</TIME><ALART_EVENT>起床</ALART_EVENT>
10:50的闹钟	alerts	ALART_ADD	<TIME>10:50</TIME>
10:50的时候记得叫我去弄饭	alerts	ALART_ADD	<TIME>10:50</TIME><ALART_EVENT>去弄饭</ALART_EVENT>
10:50的时候叫我	alerts	ALART_ADD	<TIME>10:50</TIME>
10:50叫我	alerts	ALART_ADD	<TIME>10:50</TIME>
10:50叫我起床	alerts	ALART_ADD	<TIME>10:50</TIME><ALART_EVENT>起床</ALART_EVENT>
10:50叫醒我	alerts	ALART_ADD	<TIME>10:50</TIME>
10:50闹钟	alerts		<PERIOD>10:50</PERIOD>
10:50闹钟提醒	alerts	ALART_ADD	<TIME>10:50</TIME>
10:50提醒我	alerts	ALART_ADD	<TIME>10:50</TIME>
10:50提醒我关火	alerts	ALART_ADD	<TIME>10:50</TIME><ALART_EVENT>关火</ALART_EVENT>
10:50提醒我请叔叔	alerts	ALART_ADD	<TIME>10:50</TIME><ALART_EVENT>请叔叔</ALART_EVENT>
10:50提醒我信用卡	alerts	ALART_ADD	<TIME>10:50</TIME><ALART_EVENT>信用卡</ALART_EVENT>
10:52的时候叫我	alerts	ALART_ADD	<TIME>10:52</TIME>
10:52提醒我打卡	alerts	ALART_ADD	<TIME>10:52</TIME><ALART_EVENT>打卡</ALART_EVENT>
10:54叫我	alerts	ALART_ADD	<TIME>10:54</TIME>
10:54叫我起床	alerts	ALART_ADD	<TIME>10:54</TIME><ALART_EVENT>起床</ALART_EVENT>
10:54提醒我打卡	alerts	ALART_ADD	<TIME>10:54</TIME><ALART_EVENT>打卡</ALART_EVENT>
10:55的闹钟	alerts	ALART_ADD	<TIME>10:55</TIME>
10:55的闹钟取消	alerts	ALART_DEL	
10:55叫我起床	alerts	ALART_ADD	<TIME>10:55</TIME><ALART_EVENT>起床</ALART_EVENT>
10:55闹钟	alerts	ALART_ADD	<TIME>10:55</TIME>
10:55你叫我我要休息一下	alerts	ALART_ADD	<TIME>10:55</TIME><ALART_EVENT>要休息一下</ALART_EVENT>
10:55提醒我	alerts	ALART_ADD	<TIME>10:55</TIME>
10:56叫我起床	alerts	ALART_ADD	<TIME>10:56</TIME><ALART_EVENT>起床</ALART_EVENT>
10:57提醒我	alerts	ALART_ADD	<PERIOD>10:57</PERIOD>
10:58闹钟	alerts	ALART_ADD	<TIME>10:58</TIME>
10:58提醒我中信银行	alerts	ALART_ADD	<TIME>10:58</TIME><ALART_EVENT>中信银行</ALART_EVENT>
10:59提醒我开会	alerts	ALART_ADD	<TIME>10:59</TIME><ALART_EVENT>开会</ALART_EVENT>
10:99的闹钟	alerts	ALART_ADD	<TIME>10:09</TIME>
10:零十提醒我	alerts	ALART_ADD	<TIME>10:零十</TIME>
100年后提醒我起床	alerts	ALART_ADD	<ALART_EVENT>起床</ALART_EVENT><DURATION>100分后</DURATION>
100年之后	chat		
100万欧100万人民币等于多少万恩呢	calculator		
101广播	fm	FM_AUDIOBOOK_PLAY	<RADIO_NAME>101广播</RADIO_NAME>
103快过来想好晚上吃什么呢一定是已经开始咯一会接到一陌生之后大家会怎么应对这个问题为什么那个突然说起来这件事情	chat		
106000还有106000等于几	calculator		
107分钟后提醒我看小鸡	alerts	ALART_ADD	<ALART_EVENT>看小鸡</ALART_EVENT><DURATION>107分钟后</DURATION>
10点半	chat		
10点半10点半叫我	alerts	ALART_ADD	<TIME>10点半</TIME>
10点半30分提醒我	alerts	ALART_ADD	<TIME>10点半</TIME>
10点半播放答案	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>播放答案</ALART_EVENT>
10点半播放女人如烟我要吃饭	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>女人如烟</ALART_EVENT><ALART_EVENT>吃饭</ALART_EVENT>
10点半的	chat		
10点半的闹铃	alerts	ALART_ADD	<TIME>10点半</TIME>
10点半的闹钟	alerts	ALART_ADD	<TIME>10点半</TIME>
10点半的闹钟确定上吧	alerts	ALART_ADD	<TIME>10点半</TIME>
10点半的时候叫我	alerts	ALART_ADD	<TIME>10点半</TIME>
10点半的时候提醒我写作业	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>写作业</ALART_EVENT>
10点半喊我	alerts	ALART_ADD	<TIME>10点半</TIME>
10点半叫我	alerts	ALART_ADD	<TIME>10点半</TIME>
10点半叫我煲汤	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>煲汤</ALART_EVENT>
10点半叫我起	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>起床</ALART_EVENT>
10点半叫我起床	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>起床</ALART_EVENT>
10点半叫我起床7点半	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>起床</ALART_EVENT>
10点半叫我起床叫我休息	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>起床</ALART_EVENT>
10点半叫我起床乐哦	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>起床</ALART_EVENT>
10点半叫我起床夜	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>起床</ALART_EVENT>
10点半叫我起来	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>起来</ALART_EVENT>
10点半叫我去买菜	alerts	ALART_ADD	<ALART_EVENT>买菜</ALART_EVENT><TIME>10点半</TIME>
10点半叫我睡觉	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>睡觉</ALART_EVENT>
10点半叫醒我	alerts	ALART_ADD	<TIME>10点半</TIME>
10点半闹钟	alerts	ALART_ADD	<TIME>10点半</TIME>
10点半让我休息	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>休息</ALART_EVENT>
10点半十点11:10叫我	alerts	ALART_ADD	<TIME>11:10</TIME>
10点半提醒	alerts	ALART_ADD	<TIME>10点半</TIME>
10点半提醒喝中药	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>喝中药</ALART_EVENT>
10点半提醒妈妈做饭	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>妈妈做饭</ALART_EVENT>
10点半提醒我	alerts	ALART_ADD	<TIME>10点半</TIME>
10点半提醒我播放	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>播放</ALART_EVENT>
10点半提醒我吃水果	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>吃水果</ALART_EVENT>
10点半提醒我关燃气灶	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>关燃气灶</ALART_EVENT>
10点半提醒我回复邮件	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>回复邮件</ALART_EVENT>
10点半提醒我看书	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>看书</ALART_EVENT>
10点半提醒我看微信	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>看微信</ALART_EVENT>
10点半提醒我烧水	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>烧水</ALART_EVENT>
10点半提醒我未来	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>未来</ALART_EVENT>
10点半提醒我洗澡	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>洗澡</ALART_EVENT>
10点半提醒我一下	alerts	ALART_ADD	<TIME>10点半</TIME>
10点半提醒我一下方便	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>方便</ALART_EVENT>
10点半提醒我做饭	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>做饭</ALART_EVENT>
10点半通知我做饭	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>做饭</ALART_EVENT>
10点半写作业	alerts	ALART_ADD	<TIME>10点半</TIME><ALART_EVENT>写作业</ALART_EVENT>
10点的闹钟	alerts	ALART_ADD	<TIME>10点</TIME>
10点一刻的时候提醒我	alerts	ALART_ADD	<TIME>10点一刻</TIME>
10点一刻的时候提醒我时间到了	alerts	ALART_ADD	<TIME>10点一刻</TIME>
10分钟	alerts	ALART_ADD	<DURATION>10分钟</DURATION>
10号提醒我	alerts	ALART_ADD	<DATE>10号</DATE>
10号早上8点提醒我	alerts	ALART_ADD	<DATE>10号</DATE><TIME>早上8点</TIME>
10年南非世界杯主题曲	music	MUSIC_GENERAL_PLAY	<MUSIC_NAME>10年南非世界杯主题曲</MUSIC_NAME>
10万人民广播电台第一频道	fm	FM_RADIO_PLAY	<RADIO_NAME>10万人民广播电台第一频道</RADIO_NAME>
10小时59分钟后提醒我打卡	alerts	ALART_ADD	<DURATION>10小时59分钟后</DURATION><ALART_EVENT>打卡</ALART_EVENT>
10月1号是农历多久	time	ASK_LUNAR_DATE	
10月1号星期几	time		
10月23是几号	time		
10月的闹钟11点	alerts	ALART_ADD	<DATE>10月</DATE><TIME>11点</TIME>
10月一不会二个发言那更是加倍的爱这首歌曲	chat		
11.05分提醒我关厨房的火	alerts	ALART_ADD	<TIME>11.05分</TIME><ALART_EVENT>关厨房的火</ALART_EVENT>
11:00提醒我手机钱数	alerts	ALART_ADD	<TIME>11:00</TIME><ALART_EVENT>手机钱数</ALART_EVENT>
11:02叫我起床	alerts	ALART_ADD	<TIME>11:02</TIME><ALART_EVENT>起床</ALART_EVENT>
11:03的闹钟	alerts	ALART_ADD	<TIME>11:03</TIME>
11:07:49提醒我	alerts	ALART_ADD	<TIME>11:07:49</TIME>
11:07:49提醒我吃不吃主人的屎	alerts	ALART_ADD	<TIME>11:07:49</TIME><ALART_EVENT>吃不吃主人的屎</ALART_EVENT>
11:07提醒我写完作业	alerts	ALART_ADD	<TIME>11:07</TIME><ALART_EVENT>写完作业</ALART_EVENT>
11:08的时候叫我起床	alerts	ALART_ADD	<TIME>11:08</TIME><ALART_EVENT>起床</ALART_EVENT>
11:10的闹钟	alerts	ALART_ADD	<TIME>11:10</TIME>
11:10的闹钟取消	alerts	ALART_DEL	
11:10我要听11:10的闹钟	alerts	ALART_ADD	<TIME>11:10</TIME>
11:10定个闹钟	alerts	ALART_ADD	<TIME>11:10</TIME>
11:10叫我	alerts	ALART_ADD	<TIME>11:10</TIME>
11:10叫我起床	alerts	ALART_ADD	<TIME>11:10</TIME><ALART_EVENT>起床</ALART_EVENT>
11:10叫醒我	alerts	ALART_ADD	<TIME>11:10</TIME>
11:10闹钟	alerts	ALART_ADD	<TIME>11:10</TIME>
11:10设置闹钟	alerts	ALART_ADD	<TIME>11:10</TIME>
11:10提醒我	alerts	ALART_ADD	<TIME>11:10</TIME>
11:10提醒我打卡	alerts	ALART_ADD	<TIME>11:10</TIME><ALART_EVENT>打卡</ALART_EVENT>
11:10提醒我看看	alerts	ALART_ADD	<TIME>11:10</TIME>
11:10提醒我晾衣服	alerts	ALART_ADD	<TIME>11:10</TIME><ALART_EVENT>晾衣服</ALART_EVENT>
11:10提醒我睡觉	alerts	ALART_ADD	<TIME>11:10</TIME><ALART_EVENT>睡觉</ALART_EVENT>
11:11的提醒	alerts	ALART_ADD	<TIME>11:11</TIME>
11:13叫我起床	alerts	ALART_ADD	<TIME>11:13</TIME><ALART_EVENT>起床</ALART_EVENT>
11:13叫我摘面膜	alerts	ALART_ADD	<TIME>11:13</TIME><ALART_EVENT>摘面膜</ALART_EVENT>
11:14的闹钟	alerts	ALART_ADD	<TIME>11:14</TIME>
11:15的时候提醒我一下	alerts	ALART_ADD	<TIME>11:15</TIME>
11:15叫我	alerts	ALART_ADD	<TIME>11:15</TIME>
11:15叫我起床	alerts	ALART_ADD	<TIME>11:15</TIME><ALART_EVENT>起床</ALART_EVENT>
11:15叫醒我	alerts	ALART_ADD	<TIME>11:15</TIME>
11:15闹钟	alerts	ALART_ADD	<TIME>11:15</TIME>
11:15提醒外卖	alerts	ALART_ADD	<TIME>11:15</TIME><ALART_EVENT>外卖</ALART_EVENT>
11:15提醒我	alerts	ALART_ADD	<TIME>11:15</TIME>
11:15提醒我闹钟	alerts	ALART_ADD	<TIME>11:15</TIME>
11:16提醒我看看	alerts	ALART_ADD	<TIME>11:16</TIME>
11:18闹钟	alerts	ALART_ADD	<TIME>11:18</TIME>
11:20的闹钟	alerts	ALART_ADD	<TIME>11:20</TIME>
11:20的时候提醒	alerts	ALART_ADD	<TIME>11:20</TIME>
11:20记得叫我点饭哦	alerts	ALART_ADD	<TIME>11:20</TIME><ALART_EVENT>叫我点饭</ALART_EVENT>
11:20叫我	alerts	ALART_ADD	<TIME>11:20</TIME>
11:20叫我吃饭	alerts	ALART_ADD	<TIME>11:20</TIME><ALART_EVENT>吃饭</ALART_EVENT>
11:20闹钟	alerts	ALART_ADD	<TIME>11:20</TIME>
11:20提醒未来	alerts	ALART_ADD	<TIME>11:20</TIME><ALART_EVENT>未来</ALART_EVENT>
11:20提醒我	alerts	ALART_ADD	<TIME>11:20</TIME>
11:22闹钟	alerts	ALART_ADD	<TIME>11:22</TIME>
11:24提醒我给马老师打票	alerts	ALART_ADD	<TIME>11:24</TIME><ALART_EVENT>给马老师打票</ALART_EVENT>
11:25的闹钟	alerts	ALART_ADD	<TIME>11:25</TIME>
11:25叫我	alerts	ALART_ADD	<TIME>11:25</TIME>
11:25叫我起床	alerts	ALART_ADD	<TIME>11:25</TIME><ALART_EVENT>起床</ALART_EVENT>
11:25叫我去上课	alerts	ALART_ADD	<TIME>11:25</TIME><ALART_EVENT>上课</ALART_EVENT>
11:25闹钟提醒我	alerts	ALART_ADD	<TIME>11:25</TIME>
11:25提醒老妈	alerts	ALART_ADD	<TIME>11:25</TIME><ALART_EVENT>提醒老妈</ALART_EVENT>
11:25提醒我	alerts	ALART_ADD	<TIME>11:25</TIME>
11:26提醒我吃饭25	alerts	ALART_ADD	<TIME>11:26</TIME><ALART_EVENT>吃饭</ALART_EVENT>
11:26提醒我关火	alerts	ALART_ADD	<TIME>11:26</TIME><ALART_EVENT>关火</ALART_EVENT>
11:28叫我	alerts	ALART_ADD	<TIME>11:28</TIME>
11:28提醒	alerts	ALART_ADD	<TIME>11:28</TIME>
11:29提醒我休息	alerts	ALART_ADD	<TIME>11:29</TIME><ALART_EVENT>休息</ALART_EVENT>
11:30播放快乐老家	alerts	ALART_ADD	<TIME>11:30</TIME>
11:30的闹钟	alerts	ALART_ADD	<TIME>11:30</TIME>
11:30的时候叫我	alerts	ALART_ADD	<TIME>11:30</TIME>
11:30叫我	alerts	ALART_ADD	<TIME>11:30</TIME>
11:30叫我点火	alerts	ALART_ADD	<TIME>11:30</TIME><ALART_EVENT>点火</ALART_EVENT>
11:30叫我点火蒸饭	alerts	ALART_ADD	<TIME>11:30</TIME><ALART_EVENT>点火蒸饭</ALART_EVENT>
11:30叫醒我	alerts	ALART_ADD	<TIME>11:30</TIME>
11:30闹铃	alerts	ALART_ADD	<TIME>11:30</TIME>
11:30闹钟	alerts	ALART_ADD	<TIME>11:30</TIME>
11:30闹钟叫醒	alerts	ALART_ADD	<TIME>11:30</TIME>
11:30提醒儿子做作业	alerts	ALART_ADD	<TIME>11:30</TIME><ALART_EVENT>儿子做作业</ALART_EVENT>
11:30提醒买给做作业	alerts	ALART_ADD	<TIME>11:30</TIME><ALART_EVENT>做作业</ALART_EVENT>
11:30提醒未来	alerts	ALART_ADD	<TIME>11:30</TIME><ALART_EVENT>未来</ALART_EVENT>
